** World Map Location info
** name : row : col : fromMapIndex : getMapIndex : terrain : teleporter : monsterFrequencies : riddlePoints
TEMP:-1:-1:-1:-1:0:(-1 -1 -1 ?):[]:[]
ship:-1:-1:-1:-1:0:(-1 -1 -1 ?):[]:[]
Ginulib Township:843:478:0:2:26:(2 0 40 city_center):[]:[]
Rebitthorp Township:765:655:0:-1:22:(2 -1 -1 ?):[]:[]
Cubec cave:423:367:0:-1:35:(2 -1 -1 ?):[]:[]
Kimetek cave:141:981:0:-1:35:(2 -1 -1 ?):[]:[]
Heroes Sutibeb:544:160:0:-1:21:(2 -1 -1 ?):[]:[]
Chubidad Hold:471:389:0:-1:26:(2 -1 -1 ?):[]:[]
Chubidad Stade:471:391:0:-1:28:(2 -1 -1 ?):[]:[]
Gasak hollow:768:736:0:-1:35:(2 -1 -1 ?):[]:[]
Greater Kolup:986:61:0:-1:26:(2 -1 -1 ?):[]:[]
Kolup Stade:986:59:0:-1:28:(2 -1 -1 ?):[]:[]
Kocup fount:893:176:0:-1:38:(2 -1 -1 ?):[]:[]
Fokut quarry:787:691:0:-1:38:(2 -1 -1 ?):[]:[]
Knights Pesokshire:870:517:0:-1:30:(2 -1 -1 ?):[]:[]
Lower Runatal:539:786:0:-1:33:(2 -1 -1 ?):[]:[]
Japec Chapel:564:498:0:-1:24:(2 -1 -1 ?):[]:[]
Codekas cavern:815:85:0:-1:35:(2 -1 -1 ?):[]:[]
Thonot Passing:774:68:0:-1:41:(2 -1 -1 ?):[]:[]
Lords Chobapstow:977:882:0:-1:33:(2 -1 -1 ?):[]:[]
Middle Lidden:571:31:0:-1:34:(2 -1 -1 ?):[]:[]
Bocunuk Commons:363:904:0:-1:30:(2 -1 -1 ?):[]:[]
Fasutem Chapel:889:681:0:-1:24:(2 -1 -1 ?):[]:[]
New Facepbane:210:456:0:-1:34:(2 -1 -1 ?):[]:[]
Gopum fount:399:490:0:-1:38:(2 -1 -1 ?):[]:[]
Kings Rinekud:245:567:0:-1:26:(2 -1 -1 ?):[]:[]
Namedel fort:128:983:0:-1:37:(2 -1 -1 ?):[]:[]
Mutecum fount:498:107:0:-1:38:(2 -1 -1 ?):[]:[]
Liricfolk Proper:866:117:0:-1:21:(2 -1 -1 ?):[]:[]
Thocumud Santuary:179:544:0:-1:24:(2 -1 -1 ?):[]:[]
Foled fount:319:976:0:-1:38:(2 -1 -1 ?):[]:[]
Ruben Chapel:211:256:0:-1:24:(2 -1 -1 ?):[]:[]
Shikin cavern:850:584:0:-1:35:(2 -1 -1 ?):[]:[]
Jedodis cavern:905:492:0:-1:35:(2 -1 -1 ?):[]:[]
Old Bumocop:163:476:0:-1:23:(2 -1 -1 ?):[]:[]
Lamomek cavern:733:782:0:-1:36:(2 -1 -1 ?):[]:[]
Knights Sosusap:461:687:0:-1:23:(2 -1 -1 ?):[]:[]
Middle Nodimshire:804:275:0:-1:33:(2 -1 -1 ?):[]:[]
Knights Shisekden:44:831:0:-1:22:(2 -1 -1 ?):[]:[]
Tedhowe Cove:807:120:0:-1:34:(2 -1 -1 ?):[]:[]
Dicen Temple:288:419:0:-1:24:(2 -1 -1 ?):[]:[]
Lords Sardover:817:558:0:-1:26:(2 -1 -1 ?):[]:[]
Bebid lair:479:137:0:-1:37:(2 -1 -1 ?):[]:[]
Kular burrow:285:58:0:-1:35:(2 -1 -1 ?):[]:[]
Homarstoe Wharf:297:917:0:-1:34:(2 -1 -1 ?):[]:[]
Depikir Ruins:15:859:0:-1:24:(2 -1 -1 ?):[]:[]
Bad cave:81:923:0:-1:35:(2 -1 -1 ?):[]:[]
Jelabur Gap:271:168:0:-1:41:(2 -1 -1 ?):[]:[]
Lul nest:234:765:0:-1:37:(2 -1 -1 ?):[]:[]
Lipomas den:910:874:0:-1:35:(2 -1 -1 ?):[]:[]
Midul Pantheon:601:571:0:-1:24:(2 -1 -1 ?):[]:[]
Kukeduk hold:990:674:0:-1:37:(2 -1 -1 ?):[]:[]
Dobburgh Manor:4:223:0:-1:30:(2 -1 -1 ?):[]:[]
Calinoc Shrine:310:168:0:-1:24:(2 -1 -1 ?):[]:[]
Stademal Bay:146:534:0:-1:34:(2 -1 -1 ?):[]:[]
Nacored shaft:509:777:0:-1:38:(2 -1 -1 ?):[]:[]
